price,location,land_area,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,furnishing,facing,road_size
"['मुल्य', 'आपसी', 'समझदारीमा']", Mahalaxmi Golbhatta ,1048.14, 2.5 , 4 , 4 , 2 , 2 , Semi Furnishing ,['south'],['13']
"['मुल्य', 'आपसी', 'समझदारीमा']", Aakasedhara Kapan ,1197.87, 2.5 , 4 , 3 , 2 , 2 , Semi Furnishing ,['south'],['13']
"['मुल्य', 'आपसी', 'समझदारीमा']", Aakasedhara Kapan ,1197.87, 2.5 , 4 , 3 , 2 , 2 , Semi Furnishing ,['south'],['13']
25000000.0, Tokha Grande Jhundol ,1197.87, 2.5 , 5 , 3 , 2 , 3 , Semi Furnishing ,['north'],['16']
25000000.0, Tokha Grande Jhundol ,1197.87, 2.5 , 5 , 3 , 2 , 3 , Semi Furnishing ,['north'],['16']
33500000.0, Kathmandu Manamaiju ,1561.51, 3 , 6 , 4 , 3 , 3 , Semi Furnished ,['east/south'],['13']
33500000.0, Kathmandu Manamaiju ,1561.51, 3 , 6 , 4 , 3 , 3 , Semi Furnished ,['east/south'],['13']
0.0, Kathmandu Soyambhu Chamati ,1369.0, 5.5 , 12 , 6 , 2 , 5 , Semi Furnished ,['south'],['26']
0.0, Kathmandu Soyambhu Chamati ,1369.0, 5.5 , 12 , 6 , 2 , 5 , Semi Furnished ,['south'],['26']
31000000.0, Kathmandu Kageshwori Manohara Buddhachwok ,1369.0, 4 , 10 , 4 , 3 , 3 , Semi Furnished ,['north'],['13']
31000000.0, Kathmandu Kageshwori Manohara Buddhachwok ,1369.0, 4 , 10 , 4 , 3 , 3 , Semi Furnished ,['north'],['13']
55000000.0, Nakhipot Bishalchwok ,1197.87,  , 7 , 5 , 4 , 2 , Semi Furnished ,"['west', 'feced']",['22']
55000000.0, Nakhipot Bishalchwok ,1197.87,  , 7 , 5 , 4 , 2 , Semi Furnished ,"['west', 'feced']",['22']
26500000.0, Duwakot Kmc Chowk ,1454.56, 2.5 , 5 , 2 , 2 , 2 , Not Furnishing ,['north/east'],['16']
26500000.0, Duwakot Kmc Chowk ,1454.56, 2.5 , 5 , 2 , 2 , 2 , Not Furnishing ,['north/east'],['16']
28000000.0, Budhanilkantha Jyotinagar ,, 2.5 , 6 , 4 , 2 , 2 , Semi Furnished ,['east'],['13']
28000000.0, Budhanilkantha Jyotinagar ,, 2.5 , 6 , 4 , 2 , 2 , Semi Furnished ,['east'],['13']
29000000.0, Goldhunga ,1625.68, 3 , 5 , 4 , 1 , 2 , Semi Furnished ,"['west', 'feced']",['26']
29000000.0, Goldhunga ,1625.68, 3 , 5 , 4 , 1 , 2 , Semi Furnished ,"['west', 'feced']",['26']
34500000.0, Imadol ,1304.8200000000002, 3.5 , 4 , 5 , 1 , 1 , Semi Furnishing ,"['east', '&', 'south']",['16']
