price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,furnishing,facing,road_size
Rs. 6.75Cr ,"Pepsicola, Kathmandu",7.5 aana,4.5,9,9,Semi-Furnished,West,16 Feet 
Rs. 6.5Cr ,"New Baneshwor, Kathmandu",7.5 aana,3,5,4,Semi-Furnished,North,13 Feet 
Rs. 4.25Cr ,"Imadol, Lalitpur",4.2 aana,3.5,6,2,Full-Furnished,South-West,13 Feet 
Rs. 1.5Cr ,"Gothatar, Kathmandu",4.2 aana,1,2,1,Semi-Furnished,South,13 Feet 
Rs. 2.75Cr ,"Mulpani, Kathmandu",3.1 aana,2.5,6,4,Semi-Furnished,West,14 Feet 
Rs. 2.65Cr ,"Bistagaun, Kathmandu",3.3 aana,2.5,6,5,Semi-Furnished,West,13 Feet 
Rs. 2.85Cr ,"Gothatar, Kathmandu",3.3 aana,3,6,4,Semi-Furnished,West,13 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.2 aana,3.5,6,4,Semi-Furnished,North-East,13 Feet 
Rs. 3.55Cr ,"Bojepokhari, Lalitpur",3.2 aana,3.5,7,5,Semi-Furnished,South,13 Feet 
Rs. 3.55Cr ,"Balkumari, Lalitpur",3.2 aana,3.5,6,4,Semi-Furnished,South,14 Feet 
Rs. 3.98Cr ,"Bhaisepati, Lalitpur",3.2 aana,3,6,5,Semi-Furnished,North-West,20 Feet 
Rs. 3Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,5,Semi-Furnished,South,20 Feet 
Rs. 2.45Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,East,15 Feet 
Rs. 2.6Cr ,"Shital Height, Lalitpur",3.2 aana,3,6,4,Full-Furnished,North,13 Feet 
Rs. 1.85Cr ,"Tokha, Kathmandu",3.2 aana,3,6,4,Un-Furnished,South,13 Feet 
Rs. 2.5Cr ,"Samakhusi, Kathmandu",4.2 aana,2.5,6,4,Un-Furnished,East,16 Feet 
Rs. 4.25Cr ,"Bhangal , Kathmandu",5.2 aana,3.5,6,4,Un-Furnished,South,16 Feet 
Rs. 5.4Cr ,"Subidhanagar, Kathmandu",6.3 aana,4.5,10,10,Un-Furnished,South,13 Feet 
Rs. 3.9Cr ,"Basundhara, Kathmandu",6.3 aana,3.5,6,4,Un-Furnished,East,16 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.2 aana,3.5,8,6,Semi-Furnished,East,13 Feet 
Rs. 2.1Cr ,"Siddhipur, Lalitpur",2.3 aana,2.5,5,4,Full-Furnished,South,20 Feet 
Rs. 4.5Cr ,"Shital Height, Lalitpur",2.3 aana,3.5,6,5,Full-Furnished,South,13 Feet 
Rs. 4.25Cr ,"Shital Height, Lalitpur",2.3 aana,3.5,6,5,Full-Furnished,North,13 Feet 
Price on call,"Dhapakhel, Lalitpur",3.1 aana,3.5,5,3,Un-Furnished,North,13 Feet 
Rs. 3.15Cr ,"Bhandari Marg, Lalitpur",3.1 aana,3.5,6,4,Full-Furnished,South,20 Feet 
Rs. 6.5Cr ,"Jwagal, Lalitpur",3.1 aana,4,2,5,Full-Furnished,East,20 Feet 
Rs. 4.5Cr ,"Imadol, Lalitpur",4.2 aana,3,5,3,Full-Furnished,North-West,13 Feet 
Rs. 4.25Cr ,"Mandikhatar, Kathmandu",4.2 aana,3,6,3,Un-Furnished,South-East,13 Feet 
Rs. 1.8Cr ,"Shital Height, Lalitpur",3.2 aana,1.5,3,2,Full-Furnished,East,13 Feet 
Rs. 2.6Cr ,"Shital Height, Lalitpur",3.2 aana,3,5,4,Full-Furnished,South,20 Feet 
