price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,furnishing,facing,road_size
Rs. 2.5Cr ,"Imadol, Lalitpur",2.3 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 2.25Cr ,"Golfutar, Kathmandu",3.2 aana,2.5,4,3,Semi-Furnished,East,20 Feet 
Rs. 6.25Cr ,"Bhaisepati, Lalitpur",6.2 aana,2.5,4,5,Full-Furnished,North-East,20 Feet 
Rs. 2.35Cr ,"Gothatar, Kathmandu",6.2 aana,3,6,5,Semi-Furnished,North-East,20 Feet 
Rs. 8.5Cr ,"Rudreshwor, Kathmandu",6.2 aana,3,6,5,Semi-Furnished,East,13 Feet 
Rs. 3Cr ,"Goldhunga, Kathmandu",6.1 aana,3,9,3,Semi-Furnished,South-East,13 Feet 
Rs. 2.75Cr ,"Imadol, Lalitpur",3.3 aana,2.5,7,5,Semi-Furnished,South,13 Feet 
Rs. 2.2Cr ,"Goldhunga, Kathmandu",3.2 aana,2.5,5,5,Semi-Furnished,South,12 Feet 
Rs. 2.7Cr ,"Goldhunga, Kathmandu",3.2 aana,3.5,5,6,Semi-Furnished,North-West,13 Feet 
Rs. 2.7Cr ,"Gothatar, Kathmandu",3.1 aana,3,7,4,Semi-Furnished,North-East,20 Feet 
Rs. 2.45Cr ,"Bhandari Marg, Lalitpur",3.2 aana,3,5,4,Semi-Furnished,South-East,13 Feet 
Rs. 2.8Cr ,"Kadaghari, Kathmandu",3.1 aana,2.5,5,4,Semi-Furnished,West,20 Feet 
Rs. 2.8Cr ,"Kadaghari, Kathmandu",3.1 aana,2.5,7,5,Semi-Furnished,West,12 Feet 
Rs. 3.25Cr ,"Budhanilkantha, Kathmandu",3.1 aana,3,6,5,Semi-Furnished,West,13 Feet 
Rs. 3Cr ,"Kapan, Kathmandu",3.1 aana,2.5,6,6,Semi-Furnished,South-East,13 Feet 
Rs. 3.5Cr ,"Budhanilkantha, Kathmandu",3.1 aana,2.5,6,3,Semi-Furnished,South-West,12 Feet 
Rs. 3.6Cr ,"Chapali, Kathmandu",3.3 aana,2.5,4,5,Full-Furnished,South-East,13 Feet 
Rs. 3.85Cr ,"Chunikhel, Kathmandu",3.3 aana,2.5,6,5,Semi-Furnished,South-East,13 Feet 
Rs. 4.75Cr ,"Bhaisepati, Lalitpur",4.2 aana,2.5,6,6,Semi-Furnished,South,13 Feet 
Rs. 3.85Cr ,"Bhaisepati, Lalitpur",4.2 aana,2.5,7,7,Semi-Furnished,South,13 Feet 
Price on call,"Chapali, Kathmandu",4.1 aana,2.5,7,7,Semi-Furnished,North-East,13 Feet 
Rs. 3.8Cr ,"Ganesh Chowk, Kathmandu",4.1 aana,2.5,6,4,Semi-Furnished,West,13 Feet 
Rs. 2.4Cr ,"Bhandari Marg, Lalitpur",3.1 aana,3,5,5,Semi-Furnished,West,13 Feet 
Rs. 2.4Cr ,"Hattidanda, Kathmandu",3.1 aana,2.5,4,3,Full-Furnished,West,10 Feet 
Rs. 6.5Cr ,"Kalanki, Kathmandu",3.1 aana,2.5,5,5,Semi-Furnished,East,13 Feet 
Rs. 3.3Cr ,"Samakhusi, Kathmandu",5.5 aana,3,7,4,Un-Furnished,South,16 Feet 
Rs. 2.35Cr ,"Tokha, Kathmandu",3.1 aana,3,6,3,Un-Furnished,East,13 Feet 
Rs. 2.85Cr ,"Lubhu, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,South-East,20 Feet 
Rs. 3Cr ,"Basundhara, Kathmandu",4.5 aana,2,6,2,Un-Furnished,South,20 Feet 
Rs. 2Cr ,"Basundhara, Kathmandu",2.3 aana,2,9,2,Un-Furnished,South,20 Feet 
Rs. 1.6Cr ,"Dhaneshwor, Kathmandu",3.5 aana,1,2,1,Un-Furnished,South,16 Feet 
Rs. 2.8Cr ,"Samakhusi, Kathmandu",3.5 aana,1,6,3,Full-Furnished,North,16 Feet 
Price on call,"Kapan, Kathmandu",3.2 aana,2.5,6,3,Semi-Furnished,West,13 Feet 
Rs. 2.3Cr ,"Sitapaila, Kathmandu",3.1 aana,2.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 3Cr ,"Jagdol, Kathmandu",3.1 aana,3.5,5,3,Full-Furnished,South-East,12 Feet 
Rs. 2.3Cr ,"Ochu Height, Lalitpur",2.3 aana,2.5,4,4,Semi-Furnished,South-East,13 Feet 
Rs. 3.7Cr ,"Dharmasthali, Kathmandu",2.3 aana,3.5,8,6,Full-Furnished,North,13 Feet 
Rs. 2.1Cr ,"Godawari, Lalitpur",2.3 aana,2.5,7,3,Semi-Furnished,South-West,26 Feet 
Rs. 4.85Cr ,"Dholahiti, Lalitpur",2.3 aana,2.5,5,6,Semi-Furnished,East,13 Feet 
Rs. 2.45Cr ,"Kalanki, Kathmandu",2.3 aana,2.5,5,3,Semi-Furnished,South-East,13 Feet 
Rs. 2.4Cr ,"Kalanki, Kathmandu",2.3 aana,2.5,6,3,Semi-Furnished,East,10 Feet 
Rs. 2.75Cr ,"Gothatar, Kathmandu",3.1 aana,2.5,6,4,Semi-Furnished,West,20 Feet 
Rs. 2.69Cr ,"Nakkhu, Lalitpur",3.2 aana,2.5,5,5,Semi-Furnished,North,16 Feet 
Rs. 5.5Cr ,"Sukedhara, Kathmandu",7.2 aana,2.5,5,3,Semi-Furnished,South,13 Feet 
Rs. 2.8Cr ,"Dhaneshwor, Kathmandu",7.2 aana,3.5,8,5,Semi-Furnished,North,13 Feet 
Rs. 4.25Cr ,"Dholahiti, Lalitpur",4.1 aana,2.5,6,5,Semi-Furnished,South,14 Feet 
Rs. 4.75Cr ,"Sanobharyang, Kathmandu",4.2 aana,2.5,4,4,Semi-Furnished,South,18 Feet 
Rs. 4.35Cr ,"Lasuntar, Kathmandu",4.2 aana,2.5,6,5,Un-Furnished,South-East,13 Feet 
Rs. 3.3Cr ,"Sukedhara, Kathmandu",4.2 aana,3.5,5,5,Un-Furnished,South,14 Feet 
Price on call,"Imadol, Lalitpur",4.2 aana,2.5,4,4,Semi-Furnished,South-West,13 Feet 
Rs. 1.9Cr ,"Hattigaunda, Kathmandu",4.2 aana,1.5,2,2,Un-Furnished,East,13 Feet 
Rs. 2.2Cr ,"Sitapaila, Kathmandu",4.2 aana,2.5,2,2,Un-Furnished,South,13 Feet 
Rs. 2.9Cr ,"Goldhunga, Kathmandu",4.2 aana,3.5,2,2,Un-Furnished,South,13 Feet 
Rs. 3.7Cr ,"Bhaktapur, Bhaktapur",4.2 aana,2.5,5,2,Un-Furnished,East,26 Feet 
Rs. 6Cr ,"Kalanki, Kathmandu",4.2 aana,2.5,7,4,Semi-Furnished,North-East,13 Feet 
Rs. 4.5Cr ,"Pasikot, Kathmandu",4.1 aana,2.5,6,5,Semi-Furnished,East,13 Feet 
Rs. 5Cr ,"Budhanilkantha, Kathmandu",4.1 aana,2.5,6,5,Un-Furnished,North,16 Feet 
Rs. 3.45Cr ,"Imadol, Lalitpur",4.1 aana,2.5,7,4,Un-Furnished,South-East,12 Feet 
Rs. 2.2Cr ,"Imadol, Lalitpur",4.1 aana,2.5,6,4,Un-Furnished,South,13 Feet 
Rs. 2.1Cr ,"Imadol, Lalitpur",2.3 aana,2.5,7,4,Un-Furnished,West,12 Feet 
Price on call,"Imadol, Lalitpur",3.1 aana,2.5,6,3,Un-Furnished,West,13 Feet 
Rs. 3.35Cr ,"Imadol, Lalitpur",3.1 aana,2.5,6,5,Full-Furnished,West,13 Feet 
Rs. 1.7Cr ,"Imadol, Lalitpur",3.3 aana,2.5,6,4,Un-Furnished,West,20 Feet 
Rs. 2.7Cr ,"Imadol, Lalitpur",3.3 aana,2.5,6,5,Semi-Furnished,West,13 Feet 
Rs. 4.95Cr ,"Imadol, Lalitpur",4.3 aana,2.5,6,5,Semi-Furnished,East,13 Feet 
Price on call,"Baluwatar, Kathmandu",9.2 aana,2.5,6,3,Un-Furnished,East,13 Feet 
Rs. 3.3Cr ,"Bhangal , Kathmandu",4.2 aana,3,5,2,Un-Furnished,North,13 Feet 
Rs. 9Cr ,"Budhanilkantha, Kathmandu",4.2 aana,2.5,6,7,Semi-Furnished,East,18 Feet 
Rs. 4.3Cr ,"Budhanilkantha, Kathmandu",4.2 aana,2.5,5,5,Semi-Furnished,North-East,20 Feet 
Rs. 2.8Cr ,"Lubhu, Lalitpur",4.2 aana,3,3,4,Semi-Furnished,North-East,20 Feet 
Rs. 3.35Cr ,"Imadol, Lalitpur",3.3 aana,3,5,3,Semi-Furnished,South-East,13 Feet 
Rs. 3.56Cr ,"Shankhamul, Lalitpur",3.1 aana,3,5,2,Semi-Furnished,East,13 Feet 
Rs. 1.6Cr ,"Thali, Kathmandu",3.1 aana,1,2,1,Semi-Furnished,West,13 Feet 
Price on call,"Baluwakhani, Kathmandu",3.1 aana,3,5,5,Semi-Furnished,South,13 Feet 
Rs. 1.6Cr ,"Manamaiju, Kathmandu",3.1 aana,1,2,2,Un-Furnished,West,13 Feet 
Rs. 1.8Cr ,"Manamaiju, Kathmandu",3.1 aana,3,6,4,Un-Furnished,West,1600 Feet 
Rs. 1.95Cr ,"Manamaiju, Kathmandu",3.1 aana,3,6,4,Un-Furnished,East,16 Feet 
Rs. 1.9Cr ,"Megha City, Kathmandu",3.1 aana,3,5,3,Un-Furnished,East,13 Feet 
Rs. 2Cr ,"Tokha, Kathmandu",3.1 aana,3,6,3,Un-Furnished,South,20 Feet 
Rs. 4.5Cr ,"Dhumbarahi, Kathmandu",3.1 aana,3,6,3,Un-Furnished,South-East,13 Feet 
Rs. 1.35Cr ,"Thali, Kathmandu",3.1 aana,1,2,1,Semi-Furnished,East,13 Feet 
Rs. 2.15Cr ,"Sitapaila, Kathmandu",3.1 aana,2.5,3,3,Un-Furnished,West,13 Feet 
Rs. 4.5Cr ,"Shital Height, Lalitpur",3.1 aana,3,5,5,Full-Furnished,South,13 Feet 
Rs. 3.9Cr ,"Dhapakhel, Lalitpur",4.2 aana,2.5,6,5,Semi-Furnished,East,20 Feet 
Rs. 5.5Cr ,"Bhaisepati, Lalitpur",4.2 aana,2.5,3,5,Semi-Furnished,South-East,16 Feet 
Rs. 2.3Cr ,"Sitapaila, Kathmandu",4.2 aana,2.5,6,3,Semi-Furnished,East,9 Feet 
Rs. 2.35Cr ,"Ramkot, Kathmandu",3.1 aana,2.5,7,3,Semi-Furnished,East,13 Feet 
Rs. 41Lac/aana,"Imadol, Lalitpur",3.3 aana,2.5,5,3,Full-Furnished,South-East,13 Feet 
Rs. 2.3Cr ,"Imadol, Lalitpur",2.3 aana,2.5,5,4,Semi-Furnished,North-West,11 Feet 
Rs. 4Cr ,"Bhaisepati, Lalitpur",3.1 aana,2.5,4,4,Semi-Furnished,North,13 Feet 
Rs. 4.25Cr ,"Shital Height, Lalitpur",4.1 aana,3,6,6,Full-Furnished,West,15 Feet 
Rs. 2.85Cr ,"Tikathali, Lalitpur",3.3 aana,2.5,7,5,Full-Furnished,East,20 Feet 
Rs. 3.5Cr ,"Kuleshwor, Kathmandu",3.2 aana,2.5,4,4,Semi-Furnished,South-East,10 Feet 
Rs. 2.2Cr ,"Imadol, Lalitpur",3.2 aana,2,2,3,Semi-Furnished,South,13 Feet 
Rs. 2.65Cr ,"Tikathali, Lalitpur",3.3 aana,2.5,5,2,Semi-Furnished,West,12 Feet 
Rs. 3.65Cr ,"Thulobharyang, Kathmandu",3.3 aana,2.5,6,3,Semi-Furnished,North-East,10 Feet 
Rs. 4Cr ,"Balambu, Kathmandu",5.2 aana,3,3,3,Un-Furnished,East,15 Feet 
Rs. 5.7Cr ,"Imadol, Lalitpur",5.2 aana,3,7,6,Semi-Furnished,North,20 Feet 
Price on call,"Imadol, Lalitpur",5.2 aana,2.5,7,6,Full-Furnished,South,12 Feet 
Rs. 3.95Cr ,"Shital Height, Lalitpur",5.2 aana,3,6,6,Full-Furnished,West,14 Feet 
Rs. 1.85Cr ,"Tokha, Kathmandu",3.3 aana,1,1,1,Un-Furnished,South,13 Feet 
Rs. 2Cr ,"Chunikhel, Kathmandu",2.3 aana,3,6,3,Un-Furnished,East,13 Feet 
Rs. 1.8Cr ,"Sunakothi, Lalitpur",4.2 aana,2.5,4,3,Semi-Furnished,South-East,13 Feet 
Rs. 3.25Cr ,"Rajkulo, Lalitpur",3.2 aana,3,5,5,Semi-Furnished,West,13 Feet 
Rs. 2.3Cr ,"Tikathali, Lalitpur",3.2 aana,2.5,3,3,Semi-Furnished,South-East,15 Feet 
Rs. 4.15Cr ,"Ochu Height, Lalitpur",3.2 aana,3.5,6,5,Full-Furnished,South,13 Feet 
Rs. 2.45Cr ,"Sitapaila, Kathmandu",3.2 aana,2.5,5,5,Semi-Furnished,South,13 Feet 
Rs. 2.4Cr/y,"Ekatabasti, Kathmandu",2.5 aana,3,7,3,Un-Furnished,North,13 Feet 
Rs. 2.75Cr ,"Chyasundole, Kathmandu",3.3 aana,2,3,2,Full-Furnished,South,22 Feet 
Rs. 3.4Cr ,"Lasuntar, Kathmandu",4.2 aana,2.5,6,5,Semi-Furnished,South,13 Feet 
Rs. 2.1Cr ,"Mandikhatar, Kathmandu",4.2 aana,3,6,3,Un-Furnished,North,13 Feet 
Rs. 4.5Cr ,"Tokha, Kathmandu",5.1 aana,2.5,6,6,Semi-Furnished,South-East,13 Feet 
Rs. 3.2Cr ,"Kapan, Kathmandu",5.1 aana,3.5,6,6,Semi-Furnished,North,13 Feet 
Rs. 4.25Cr ,"Paiyuntar, Kathmandu",5.1 aana,2.5,6,5,Semi-Furnished,South-West,10 Feet 
Rs. 2.15Cr ,"Bhangal , Kathmandu",5.1 aana,2.5,5,4,Un-Furnished,South,13 Feet 
Rs. 5.75Cr ,"Imadol, Lalitpur",5.1 aana,2.5,5,5,Full-Furnished,West,13 Feet 
Rs. 4.4Cr ,"Shital Height, Lalitpur",5.1 aana,3,5,5,Full-Furnished,South-East,13 Feet 
Rs. 2.1Cr ,"Bhandari Marg, Lalitpur",5.1 aana,2.5,4,4,Full-Furnished,West,13 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",3.2 aana,3,3,3,Un-Furnished,East,8 Feet 
Rs. 2.8Cr ,"Bafal, Kathmandu",2.2 aana,2.5,4,3,Semi-Furnished,South,10 Feet 
Rs. 2.75Cr ,"Bhandari Marg, Lalitpur",3.2 aana,3,5,5,Semi-Furnished,East,13 Feet 
Rs. 2.35Cr ,"Bhandari Marg, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 2.7Cr ,"Imadol, Lalitpur",3.2 aana,3,5,5,Semi-Furnished,North,13 Feet 
Rs. 3.35Cr ,"Imadol, Lalitpur",3.1 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 2.9Cr ,"Tokha, Kathmandu",3.1 aana,3,5,5,Semi-Furnished,North-East,13 Feet 
Rs. 4Cr ,"Paiyatar, Kathmandu",3.1 aana,3.5,6,5,Un-Furnished,South-West,10 Feet 
Rs. 4.3Cr ,"Ganesh Chowk, Kathmandu",3.1 aana,3,6,2,Un-Furnished,West,13 Feet 
Rs. 4.75Cr ,"Ganesh Chowk, Kathmandu",5.2 aana,2.5,6,2,Un-Furnished,South,13 Feet 
Rs. 28Cr ,"Ganesh Chowk, Kathmandu",5.2 aana,2.5,5,5,Semi-Furnished,East,14 Feet 
Rs. 4.75Cr ,"Ganesh Chowk, Kathmandu",5.2 aana,2.5,5,5,Un-Furnished,East,13 Feet 
Rs. 4.5Cr ,"Baluwakhani, Kathmandu",5.2 aana,3,6,3,Un-Furnished,East,20 Feet 
Rs. 2.15Cr ,"Baluwakhani, Kathmandu",5.2 aana,2.5,6,2,Un-Furnished,North,13 Feet 
Rs. 2.55Cr ,"Kharibot, Kathmandu",3.5 aana,3,6,3,Un-Furnished,West,13 Feet 
Price on call,"Bardibas, Mahottari",0.8 kattha,1,2,1,Un-Furnished,South,100 Meter
Rs. 2.95Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,5,Semi-Furnished,South,12 Feet 
Rs. 3.35Cr ,"Banasthali, Kathmandu",3.2 aana,2.5,6,5,Semi-Furnished,South,10 Feet 
Rs. 3.7Cr ,"Samakhushi chowk, Kathmandu",6.3 aana,3.5,6,5,Un-Furnished,West,10 Feet 
Rs. 5.7Cr ,"Imadol, Lalitpur",6.3 aana,3,7,4,Full-Furnished,South,13 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.2 aana,4,5,4,Full-Furnished,North,12 Feet 
Rs. 2.3Cr ,"Sitapaila, Kathmandu",3.1 aana,2.5,3,2,Semi-Furnished,South,13 Feet 
Rs. 2.75Cr ,"Gothatar, Kathmandu",3.1 aana,2.5,6,4,Semi-Furnished,West,20 Feet 
Rs. 3.5Cr ,"Gothatar, Kathmandu",3.1 aana,3.5,7,6,Full-Furnished,West,14 Feet 
Rs. 7.5Cr ,"Mulpani, Kathmandu",3.1 aana,2.5,5,5,Semi-Furnished,South-West,25 Feet 
Rs. 1.7Cr ,"Chapali, Kathmandu",2.5 aana,2.5,5,3,Full-Furnished,South-East,13 Feet 
Rs. 3.25Cr ,"Gothatar, Kathmandu",3.1 aana,2.5,6,2,Un-Furnished,North,20 Feet 
Rs. 3.5Cr ,"Ekatabasti, Kathmandu",4.2 aana,2.5,6,2,Un-Furnished,North,20 Feet 
Rs. 3.85Cr ,"Aakasedhara, Kathmandu",4.2 aana,3,6,2,Un-Furnished,West,20 Feet 
Rs. 2.45Cr ,"Kalanki, Kathmandu",4.2 aana,2.5,5,3,Semi-Furnished,South,13 Feet 
Rs. 3.5Cr ,"Bhaisepati, Lalitpur",4.2 aana,2.5,6,2,Un-Furnished,East,12 Feet 
Rs. 2.15Cr ,"Kalanki, Kathmandu",4.2 aana,2.5,5,3,Semi-Furnished,East,13 Feet 
Rs. 35Lac/aana,"Halchowk, Kathmandu",4.2 aana,2.5,4,4,Semi-Furnished,South,12 Feet 
Rs. 2.35Cr ,"Kalanki, Kathmandu",4.2 aana,2.5,6,3,Semi-Furnished,East,10 Feet 
Rs. 2.5Cr ,"Lalitpur, Lalitpur",3.2 aana,2.5,4,3,Full-Furnished,North,13 Feet 
Rs. 1.8Cr ,"Bhatkepati, Kathmandu",3.2 aana,3,3,3,Un-Furnished,South-East,20 Feet 
Rs. 1.95Cr ,"Satungal, Kathmandu",3.2 aana,2.5,6,3,Semi-Furnished,East,12 Feet 
Rs. 2.5Cr ,"Baluwakhani, Kathmandu",3.2 aana,3,6,3,Un-Furnished,East,16 Feet 
Rs. 1.55Cr ,"Rupandehi, Rupandehi",0.9 kattha,3.5,9,3,Semi-Furnished,South,32 Feet 
Rs. 7.5Cr ,"Mulpani, Kathmandu",0.9 kattha,2.5,5,3,Semi-Furnished,West,25 Feet 
Rs. 4.5Cr ,"Kalanki, Kathmandu",4.2 aana,3,8,7,Semi-Furnished,South-East,13 Feet 
Rs. 3.85Cr ,"Hattiban, Lalitpur",4.2 aana,2.5,5,4,Semi-Furnished,North,13 Feet 
Rs. 4.5Cr ,"Kalanki, Kathmandu",4.2 aana,2.5,5,5,Full-Furnished,North-East,13 Feet 
Rs. 3.2Cr ,"Kapan, Kathmandu",4.2 aana,3.5,5,4,Full-Furnished,West,12 Feet 
Rs. 9.5Cr ,"Dadhikot, Bhaktapur",13.2 aana,2.5,5,5,Semi-Furnished,North,26 Feet 
Rs. 2.6Cr ,"Budhanilkantha, Kathmandu",3.1 aana,2.5,6,3,Un-Furnished,North,13 Feet 
Rs. 3.9Cr ,"Samakhusi, Kathmandu",5.5 aana,3.5,6,3,Un-Furnished,North-East,13 Feet 
Rs. 3.7Cr ,"Samakhusi, Kathmandu",5.5 aana,3.5,10,4,Un-Furnished,West,13 Feet 
Rs. 2.6Cr ,"Samakhusi, Kathmandu",5.5 aana,3,7,4,Un-Furnished,South,13 Feet 
Rs. 2.55Cr ,"Bhangal , Kathmandu",5.5 aana,3,6,3,Un-Furnished,South-West,13 Feet 
Rs. 2Cr ,"Tokha, Kathmandu",5.5 aana,3,6,3,Un-Furnished,North,13 Feet 
Rs. 98Lac ,"Machhe Gaun, Kathmandu",3.2 aana,1,3,2,Un-Furnished,North-East,13 Feet 
Rs. 2.99Cr ,"Lubhu, Lalitpur",3.3 aana,3.5,6,5,Full-Furnished,North-East,13 Feet 
Rs. 5.7Cr ,"Shital Height, Lalitpur",3.3 aana,3,7,4,Full-Furnished,West,13 Feet 
Rs. 4.7Cr ,"Shital Height, Lalitpur",4.2 aana,3,6,5,Full-Furnished,North-East,13 Feet 
Rs. 2.9Cr ,"Rajkulo, Lalitpur",4.2 aana,3,6,4,Semi-Furnished,South-West,13 Feet 
Rs. 2.55Cr ,"Balkot, Bhaktapur",4.2 aana,3,5,4,Semi-Furnished,West,13 Feet 
Rs. 3.15Cr ,"Imadol, Lalitpur",3.1 aana,3,6,4,Semi-Furnished,South,13 Feet 
Rs. 3Cr ,"Sitapaila, Kathmandu",4.1 aana,2.5,3,2,Semi-Furnished,West,10 Feet 
Rs. 3.75Cr ,"Imadol, Lalitpur",4.1 aana,3.5,6,7,Semi-Furnished,South,13 Feet 
Rs. 4.15Cr ,"Chobhar, Kathmandu",7.1 aana,2.5,5,4,Semi-Furnished,South-East,16 Feet 
Rs. 3.5Cr ,"Thulobharyang, Kathmandu",7.1 aana,3,5,3,Semi-Furnished,East,13 Feet 
Rs. 2.2Cr ,"Sitapaila, Kathmandu",3.1 aana,2.5,3,3,Un-Furnished,West,16 Feet 
Rs. 4.75Cr ,"Imadol, Lalitpur",3.1 aana,2.5,5,5,Semi-Furnished,East,13 Feet 
Rs. 5.25Cr ,"Imadol, Lalitpur",5.1 aana,2.5,4,5,Un-Furnished,East,13 Feet 
Price on call,"Imadol, Lalitpur",4.1 aana,2.5,5,5,Semi-Furnished,East,13 Feet 
Rs. 3.25Cr ,"Minbhawan, Kathmandu",4.1 aana,2.5,5,3,Full-Furnished,East,10 Feet 
Rs. 2.9Cr ,"Banasthali, Kathmandu",3.2 aana,3.5,5,3,Full-Furnished,West,13 Feet 
Rs. 3.5Cr ,"Banasthali, Kathmandu",3.2 aana,2.5,5,3,Full-Furnished,East,26 Feet 
Rs. 1.95Cr ,"Budhanilkantha, Kathmandu",3.2 aana,3,6,3,Un-Furnished,West,13 Feet 
Rs. 2Cr ,"Budhanilkantha, Kathmandu",2.7 aana,3,5,3,Un-Furnished,North,13 Feet 
Rs. 2Cr ,"Samakhusi, Kathmandu",2.7 aana,3,9,4,Un-Furnished,East,6 Feet 
Rs. 2.3Cr ,"Syuchatar, Kathmandu",4.2 aana,3,8,5,Semi-Furnished,North-East,12 Feet 
Price on call,"Devinagar, Rupandehi",0.8 kattha,2,7,3,Full-Furnished,North,20 Feet 
Rs. 1.85Cr ,"Baluwakhani, Kathmandu",0.8 kattha,3,6,3,Un-Furnished,South-East,13 Feet 
Rs. 2Cr ,"Tokha, Kathmandu",0.8 kattha,3,6,3,Un-Furnished,North,13 Feet 
Rs. 2.4Cr ,"Manamaiju, Kathmandu",0.8 kattha,3.5,9,6,Un-Furnished,South,13 Feet 
Rs. 2.68Cr ,"Dhapakhel, Lalitpur",0.8 kattha,2.5,4,3,Un-Furnished,North-East,13 Feet 
Rs. 4.15Cr ,"Lubhu, Lalitpur",5.2 aana,3,5,4,Full-Furnished,North-West,14 Feet 
Rs. 1.6Cr ,"Shital Height, Lalitpur",5.2 aana,1,2,1,Semi-Furnished,West,13 Feet 
Rs. 2Cr ,"Sitapaila, Kathmandu",5.2 aana,2.5,3,3,Semi-Furnished,South-East,13 Feet 
Rs. 2.5Cr ,"Taukhel, Lalitpur",4.2 aana,2.5,5,4,Semi-Furnished,West,13 Feet 
Rs. 4.15Cr ,"Balaju, Kathmandu",4.2 aana,2.5,7,4,Full-Furnished,South-East,13 Feet 
Rs. 2.45Cr ,"Shital Height, Lalitpur",4.2 aana,2.5,5,3,Semi-Furnished,West,13 Feet 
Rs. 3.5Cr ,"Lubhu, Lalitpur",4.1 aana,3.5,8,3,Full-Furnished,North-West,13 Feet 
Rs. 4Cr ,"Basundhara, Kathmandu",4.1 aana,3.5,7,2,Full-Furnished,North,14 Feet 
Rs. 5Cr ,"Bhangal , Kathmandu",4.1 aana,2.5,4,3,Full-Furnished,North,13 Feet 
Rs. 10.7Cr ,"Balkhu, Lalitpur",13.1 aana,3,8,4,Full-Furnished,North-East,13 Feet 
Rs. 2.69Cr ,"Imadol, Lalitpur",13.1 aana,3.5,10,7,Semi-Furnished,North,20 Feet 
Rs. 2.5Cr ,"Sanagaun Lubhu, Lalitpur",13.1 aana,3.5,3,2,Full-Furnished,East,18 Feet 
Rs. 2Cr ,"Sunakothi, Lalitpur",2.3 aana,2.5,3,3,Un-Furnished,North,13 Feet 
Rs. 2.99Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 1.6Cr ,"Chobhar, Kathmandu",3.2 aana,3.5,6,4,Semi-Furnished,South,13 Feet 
Rs. 6.2Cr ,"Koteshwor, Kathmandu",3.2 aana,2.5,5,2,Full-Furnished,East,16 Feet 
Rs. 3.7Cr ,"Sitapaila, Kathmandu",3.2 aana,2.5,3,3,Full-Furnished,North-East,8 Meter
Rs. 8.65Cr ,"Dallu, Kathmandu",8.2 aana,4,10,4,Full-Furnished,South,13 Feet 
Rs. 4.35Cr ,"Budhanilkantha, Kathmandu",4.2 aana,4,5,5,Full-Furnished,North-East,20 Feet 
Rs. 1.25Cr ,"Thankot, Kathmandu",4.2 aana,1.5,3,1,Un-Furnished,South-West,13 Feet 
Rs. 4.15Cr ,"Imadol, Lalitpur",4.2 aana,2.5,7,5,Semi-Furnished,South,13 Feet 
Price on call,"Gyaneshwor, Kathmandu",3.3 aana,3.5,6,6,Semi-Furnished,North,20 Feet 
Rs. 3.5Cr ,"Jorpati, Kathmandu",3.3 aana,2,6,4,Un-Furnished,North-East,13 Feet 
Rs. 3.5Cr ,"Jorpati, Kathmandu",3.3 aana,3,7,5,Un-Furnished,West,20 Feet 
Rs. 3.2Cr ,"Imadol, Lalitpur",3.2 aana,2.5,4,3,Full-Furnished,East,13 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",3.2 aana,3.5,6,4,Un-Furnished,South,12 Feet 
Rs. 2.8Cr ,"Imadol, Lalitpur",3.2 aana,3.5,5,4,Full-Furnished,South,13 Feet 
Rs. 4.1Cr ,"Chapali, Kathmandu",4.1 aana,2.5,6,4,Semi-Furnished,East,20 Feet 
Rs. 2.5Cr ,"Koteshwor, Kathmandu",3.3 aana,3,9,2,Un-Furnished,North,6 Feet 
Rs. 2.9Cr ,"Aakasedhara, Kathmandu",3.3 aana,2.5,9,4,Un-Furnished,North,16 Feet 
Price on call,"Handigaun, Kathmandu",3.3 aana,2.5,4,2,Un-Furnished,South-East,13 Feet 
Price on call,"Baluwatar, Kathmandu",6.5 aana,3,4,2,Un-Furnished,South-East,13 Feet 
Price on call,"Naxal, Kathmandu",6.5 aana,3,6,3,Un-Furnished,South,13 Feet 
Rs. 1.8Cr ,"Aakasedhara, Kathmandu",6.5 aana,3,8,4,Un-Furnished,South,16 Feet 
Rs. 3.3Cr ,"Setipakha, Lalitpur",6.5 aana,3,7,5,Semi-Furnished,North-East,14 Feet 
Rs. 2.75Cr ,"Imadol, Lalitpur",3.1 aana,2.5,4,3,Semi-Furnished,South,12 Feet 
Rs. 8Cr ,"Kuleshwor, Kathmandu",3.1 aana,2.5,5,3,Semi-Furnished,South-East,13 Feet 
Rs. 1.85Cr ,"Lubhu, Lalitpur",3.1 aana,2.5,11,3,Semi-Furnished,North-West,13 Feet 
Rs. 2.9Cr ,"Lamatar, Lalitpur",4.3 aana,2.5,5,4,Full-Furnished,East,15 Feet 
