price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
35000000,"Tikathali, Lalitpur",0-4-0-0,South,6,4,3,3,3,20,Semi Furnished,3
36500000,Jala binayak colony,0-5-2-2,South,5,3,1,2.5,3,20,Full Furnished,2.5
35000000,Jala binayak colony,0-5-2-0,South,5,3,1,2.5,3,20,Full Furnished,2.5
25000000,Pragati Colony,0-3-2-0,West,5,4,2,3,4,13,Semi Furnished,3
57500000,Bhaisepati,0-6-0-0,East,4,3,1,2,4,13,Full Furnished,2
28500000,"Tikathali, Lalitpur",0-3-0-0,East,5,4,2,3.5,4,13,Full Furnished,3.5
35000000,Bhaisepati,0-3-0-1,East,4,4,1,2.5,4,20,Full Furnished,2.5
38000000,Tinthana,0-5-1-3,South,6,5,3,3,3,12,Semi Furnished,3
38000000,"Kalanki, Syuchatar ",0-4-0-0,South-West,6,3,2,2.5,3,13,Semi Furnished,2.5
36000000,"Thamel, Galkopakha ",,South,9,3,,3,,,Semi Furnished,3
18500000,Satungal,0-3-1-2,South-East,3,2,1,2.5,3,31,Semi Furnished,2.5
38000000,"Sitapaila, Kathmandu",0-5-3-0,South-West,8,3,0,4,4,16,Semi Furnished,4
70000000,"Raniban, Kathmandu",0-6-1-0,North-West,7,5,2,2.5,5,20,Semi Furnished,2.5
80000000,Khadka Gau,0-12-0-0,North-East,6,6,2,2.5,7,14,Semi Furnished,2.5
37500000,Imadol,0-3-2-0,South,5,4,2,3.5,4,13,Full Furnished,3.5
52000000,"Imadol, lalitpur",0-5-1-2,South,7,8,2,3.5,5,13,Full Furnished,3.5
54000000,Imadol,0-5-0-0,East,7,7,2,3,4,20,Full Furnished,3
42000000,Cozy home,0-3-2-2,East,4,4,1,3,4,13,Full Furnished,3
42000000,Cozy Home,0-3-0-0,West,4,4,1,3,4,13,Full Furnished,3
39000000,Dhapakhel ,0-4-2-0,East,6,5,2,3,4,20,Semi Furnished,3
52500000,Hattiban Housing,0-4-3-0,North-East,4,3,1,2.5,4,26,Full Furnished,2.5
70000000,Dhumbarahi,0-6-0-0,South,6,3,2,4,4,13,Full Furnished,4
77500000,Dholahiti Lalitpur,0-10-1-0,North-East,5,4,1,2.5,5,13,Semi Furnished,2.5
65000000,Green Hill City,0-5-2-0,South,5,5,3,3,4,20,Full Furnished,3
23500000,Naya Basti,0-3-0-1,South,5,3,2,3,2,11,Semi Furnished,3
70000000,Dreamz Homez Colony,0-5-3-0,North-East,4,4,2,2.5,3,16,Semi Furnished,2.5
22000000,Bajradham Colony,0-3-3-0,East,6,6,2,3,3,13,Semi Furnished,3
62500000,Hepali Heights,0-6-0-0,South,4,4,1,3,3,16,Semi Furnished,3
59000000,Dhapakhel Height,0-8-3-3,South,6,7,2,3,5,20,Full Furnished,3
80000000,"Basundhara, Kathmandu",0-8-0-0,East,8,4,2,3,6,26,Semi Furnished,3
27500000,Lalitpur Metropolitan City-24,Nepal,North,3,3,3,3.5,2,13,Semi Furnished,3.5
33000000,"Balkot, Bhaktapur",0-3-1-2,East,6,5,2,3,3,13,Full Furnished,3
80000000,Hepali Height,0-8-0-3,East,9,7,2,3.5,5,13,Semi Furnished,3.5
29800000,"Imadol, Krishna Mandir",0-4-0-0,West,5,3,2,2.5,6,13,Semi Furnished,2.5
34500000,Near Down Town Residency,0-3-2-0,North,5,4,2,3,3,16,Semi Furnished,3
27500000,Samakhushi,2.5 aana,East,4,4,3,4,3,16,Semi Furnished,4
30000000,"Duwakot , Bhaktapur",0-4-0-1.57,South,4,3,1,2.5,1,,Semi Furnished,2.5
37500000,Imadol,0-4-1-0,West,7,5,2,3.5,4,20,Semi Furnished,3.5
45000000,Bhaisepati,0-4-2-0,West,4,3,2,2.5,4,13,Full Furnished,2.5
41000000,Binayak Colony,0-4-0-0,North,4,3,2,2.5,3,16,Full Furnished,2.5
28000000,Sudarsan Height,0-3-2-0,South-West,5,4,2,2.5,3,14,Semi Furnished,2.5
40000000,Chakku Mandir House,0-3-0-0,North,4,4,1,2.5,4,12,Full Furnished,2.5
35500000,Manmohan hospital,0-4-0-0,South,5,3,2,2.5,4,13,Semi Furnished,2.5
65000000,Syuchatar,0-9-0-0,South-West,6,5,2,3.5,5,13,Full Furnished,3.5
21000000,"Shital height, Imadol",0-3-0-0,North-West,6,5,2,2.5,3,15,Full Furnished,2.5
50000000,Bhaisepati,0-5-1-0,East,4,3,2,2.5,4,13,Full Furnished,2.5
42500000,"Shital height, Imadol",0-4-1-1,North,6,5,2,3.5,4,16,Full Furnished,3.5
32500000,Paiyutar,0-3-3-2,South-East,6,4,2,2.5,3,14,Semi Furnished,2.5
21000000,"Lubhu, Lalitpur",0-3-1-0,East,5,4,2,2.5,3,13,Semi Furnished,2.5
92500000,"Bakhundol, Lalitpur",0-8-0-0,North,4,3,2,3,3,13,Semi Furnished,3
12500000,Sudal,0-2-2-0,North,4,2,0,1,1,6,Semi Furnished,1
27500000,Setipakha,0-3-1-0,South-West,5,4,2,2.5,4,13,Semi Furnished,2.5
67500000,"Budhanilkantha, Kathmandu",0-13-0-0,East,5,4,2,2.5,5,13,Semi Furnished,2.5
130000000,"Pasikot, Budhanilkantha",0-18-0-0,North,4,4,2,2.5,4,13,Semi Furnished,2.5
30000000,"Bagdol, Namuna Marg Paschim, Lalitpur",Nepal,West,2,2,1,2.5,2,,Semi Furnished,2.5
170000000,Near Talim Kendra,0-19-0-0,North,3,3,1,2.5,10,16,Semi Furnished,2.5
26500000,Shital Height,0-2-3-0,South,5,4,2,3,4,13,Semi Furnished,3
31000000,"Budhanilkantha, Kathmandu",0-4-2-0,North,6,6,2,2.5,4,13,Semi Furnished,2.5
27000000,"Sanagaun, Lalitpur",0-3-1-0,South,5,4,1,3.5,4,13,Full Furnished,3.5
29000000,Ochu Height,0-3-1-2,East,6,5,2,2.5,4,13,Full Furnished,2.5
135000000,Hattigauda,1-0-0-0,East,5,8,2,2.5,7,13,Full Furnished,2.5
55000000,"Bhaisepati, Lalitpur",0-5-0-0,South,6,4,2,3,4,13,Semi Furnished,3
39500000,Bhangal,0-4-1-2,South-West,6,3,2,3,3,13,Full Furnished,3
33500000,ochu height,0-3-1-3,East,6,5,2,3.5,1,,Full Furnished,3.5
23500000,Nepal ,3.2 Aana,East,3,3,3,3,2,,Unfurnished,3
25000000,chyasundole ,Nepal,East,4,4,2,2.5,1,,Unfurnished,2.5
38000000,Government Planning,4 aana 2 paisa,East,4,4,1,2.5,1,,Semi Furnished,2.5
115000000,Sukedhara,0-12-0-0,East,5,4,2,2.5,7,14,Semi Furnished,2.5
26900000,Nakkhu,0-3-2-0,North,5,5,2,2.5,4,16,Semi Furnished,2.5
26000000,Dhalmal,0-2-2-0,South,6,5,2,3,2,13,Semi Furnished,3
23000000,"Tikathali, Lalitpur",0-3-0-2,East,6,4,1,2.5,4,13,Semi Furnished,2.5
38500000,Ochu Height,0-3-3-0,West,6,4,1,2.5,4,13,Full Furnished,2.5
