price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
36500000,Jala binayak colony,425.16499999999996,South,5.0,3.0,1.0,2.5,3.0,20.0,Full Furnished,2.5
35000000,Jala binayak colony,382.385,South,5.0,3.0,1.0,2.5,3.0,20.0,Full Furnished,2.5
25000000,Pragati Colony,297.879,West,5.0,4.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
57500000,Bhaisepati,253.518,East,4.0,3.0,1.0,2.0,4.0,13.0,Full Furnished,2.0
28500000,"Tikathali, Lalitpur",126.759,East,5.0,4.0,2.0,3.5,4.0,13.0,Full Furnished,3.5
35000000,Bhaisepati,148.149,East,4.0,4.0,1.0,2.5,4.0,20.0,Full Furnished,2.5
38000000,Tinthana,360.995,South,6.0,5.0,3.0,3.0,3.0,12.0,Semi Furnished,3.0
38000000,"Kalanki, Syuchatar ",169.012,South-West,6.0,3.0,2.0,2.5,3.0,13.0,Semi Furnished,2.5
18500000,Satungal,255.09900000000002,South-East,3.0,2.0,1.0,2.5,3.0,31.0,Semi Furnished,2.5
38000000,"Sitapaila, Kathmandu",467.945,South-West,8.0,3.0,0.0,4.0,4.0,16.0,Semi Furnished,4.0
70000000,"Raniban, Kathmandu",339.078,North-West,7.0,5.0,2.0,2.5,5.0,20.0,Semi Furnished,2.5
80000000,Khadka Gau,507.036,North-East,6.0,6.0,2.0,2.5,7.0,14.0,Semi Furnished,2.5
37500000,Imadol,297.879,South,5.0,4.0,2.0,3.5,4.0,13.0,Full Furnished,3.5
52000000,"Imadol, lalitpur",339.605,South,7.0,8.0,2.0,3.5,5.0,13.0,Full Furnished,3.5
54000000,Imadol,211.265,East,7.0,7.0,2.0,3.0,4.0,20.0,Full Furnished,3.0
42000000,Cozy home,340.659,East,4.0,4.0,1.0,3.0,4.0,13.0,Full Furnished,3.0
42000000,Cozy Home,126.759,West,4.0,4.0,1.0,3.0,4.0,13.0,Full Furnished,3.0
39000000,Dhapakhel ,340.132,East,6.0,5.0,2.0,3.0,4.0,20.0,Semi Furnished,3.0
52500000,Hattiban Housing,425.692,North-East,4.0,3.0,1.0,2.5,4.0,26.0,Full Furnished,2.5
70000000,Dhumbarahi,253.518,South,6.0,3.0,2.0,4.0,4.0,13.0,Full Furnished,4.0
77500000,Dholahiti Lalitpur,508.09,North-East,5.0,4.0,1.0,2.5,5.0,13.0,Semi Furnished,2.5
65000000,Green Hill City,382.385,South,5.0,5.0,3.0,3.0,4.0,20.0,Full Furnished,3.0
23500000,Naya Basti,148.149,South,5.0,3.0,2.0,3.0,2.0,11.0,Semi Furnished,3.0
70000000,Dreamz Homez Colony,467.945,North-East,4.0,4.0,2.0,2.5,3.0,16.0,Semi Furnished,2.5
22000000,Bajradham Colony,383.439,East,6.0,6.0,2.0,3.0,3.0,13.0,Semi Furnished,3.0
62500000,Hepali Heights,253.518,South,4.0,4.0,1.0,3.0,3.0,16.0,Semi Furnished,3.0
59000000,Dhapakhel Height,658.8739999999999,South,6.0,7.0,2.0,3.0,5.0,20.0,Full Furnished,3.0
80000000,"Basundhara, Kathmandu",338.024,East,8.0,4.0,2.0,3.0,6.0,26.0,Semi Furnished,3.0
27500000,Lalitpur Metropolitan City-24,,North,3.0,3.0,3.0,3.5,2.0,13.0,Semi Furnished,3.5
33000000,"Balkot, Bhaktapur",255.09900000000002,East,6.0,5.0,2.0,3.0,3.0,13.0,Full Furnished,3.0
80000000,Hepali Height,402.194,East,9.0,7.0,2.0,3.5,5.0,13.0,Semi Furnished,3.5
29800000,"Imadol, Krishna Mandir",169.012,West,5.0,3.0,2.0,2.5,6.0,13.0,Semi Furnished,2.5
34500000,Near Down Town Residency,297.879,North,5.0,4.0,2.0,3.0,3.0,16.0,Semi Furnished,3.0
27500000,Samakhushi,105.6325,East,4.0,4.0,3.0,4.0,3.0,16.0,Semi Furnished,4.0
37500000,Imadol,254.572,West,7.0,5.0,2.0,3.5,4.0,20.0,Semi Furnished,3.5
45000000,Bhaisepati,340.132,West,4.0,3.0,2.0,2.5,4.0,13.0,Full Furnished,2.5
41000000,Binayak Colony,169.012,North,4.0,3.0,2.0,2.5,3.0,16.0,Full Furnished,2.5
28000000,Sudarsan Height,297.879,South-West,5.0,4.0,2.0,2.5,3.0,14.0,Semi Furnished,2.5
40000000,Chakku Mandir House,126.759,North,4.0,4.0,1.0,2.5,4.0,12.0,Full Furnished,2.5
35500000,Manmohan hospital,169.012,South,5.0,3.0,2.0,2.5,4.0,13.0,Semi Furnished,2.5
65000000,Syuchatar,380.277,South-West,6.0,5.0,2.0,3.5,5.0,13.0,Full Furnished,3.5
21000000,"Shital height, Imadol",126.759,North-West,6.0,5.0,2.0,2.5,3.0,15.0,Full Furnished,2.5
50000000,Bhaisepati,296.825,East,4.0,3.0,2.0,2.5,4.0,13.0,Full Furnished,2.5
42500000,"Shital height, Imadol",275.962,North,6.0,5.0,2.0,3.5,4.0,16.0,Full Furnished,3.5
32500000,Paiyutar,426.21900000000005,South-East,6.0,4.0,2.0,2.5,3.0,14.0,Semi Furnished,2.5
21000000,"Lubhu, Lalitpur",212.31900000000002,East,5.0,4.0,2.0,2.5,3.0,13.0,Semi Furnished,2.5
92500000,"Bakhundol, Lalitpur",338.024,North,4.0,3.0,2.0,3.0,3.0,13.0,Semi Furnished,3.0
12500000,Sudal,255.626,North,4.0,2.0,0.0,1.0,1.0,6.0,Semi Furnished,1.0
27500000,Setipakha,212.31900000000002,South-West,5.0,4.0,2.0,2.5,4.0,13.0,Semi Furnished,2.5
67500000,"Budhanilkantha, Kathmandu",549.289,East,5.0,4.0,2.0,2.5,5.0,13.0,Semi Furnished,2.5
130000000,"Pasikot, Budhanilkantha",760.554,North,4.0,4.0,2.0,2.5,4.0,13.0,Semi Furnished,2.5
170000000,Near Talim Kendra,802.807,North,3.0,3.0,1.0,2.5,10.0,16.0,Semi Furnished,2.5
26500000,Shital Height,341.18600000000004,South,5.0,4.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
31000000,"Budhanilkantha, Kathmandu",340.132,North,6.0,6.0,2.0,2.5,4.0,13.0,Semi Furnished,2.5
27000000,"Sanagaun, Lalitpur",212.31900000000002,South,5.0,4.0,1.0,3.5,4.0,13.0,Full Furnished,3.5
29000000,Ochu Height,255.09900000000002,East,6.0,5.0,2.0,2.5,4.0,13.0,Full Furnished,2.5
135000000,Hattigauda,5476.0,East,5.0,8.0,2.0,2.5,7.0,13.0,Full Furnished,2.5
55000000,"Bhaisepati, Lalitpur",211.265,South,6.0,4.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
39500000,Bhangal,297.352,South-West,6.0,3.0,2.0,3.0,3.0,13.0,Full Furnished,3.0
115000000,Sukedhara,507.036,East,5.0,4.0,2.0,2.5,7.0,14.0,Semi Furnished,2.5
26900000,Nakkhu,297.879,North,5.0,5.0,2.0,2.5,4.0,16.0,Semi Furnished,2.5
26000000,Dhalmal,255.626,South,6.0,5.0,2.0,3.0,2.0,13.0,Semi Furnished,3.0
23000000,"Tikathali, Lalitpur",169.539,East,6.0,4.0,1.0,2.5,4.0,13.0,Semi Furnished,2.5
38500000,Ochu Height,383.439,West,6.0,4.0,1.0,2.5,4.0,13.0,Full Furnished,2.5
55000000,Imadol,211.265,West,5.0,4.0,2.0,3.5,3.0,13.0,Full Furnished,3.5
35000000,Setipakha,297.879,South-East,7.0,6.0,2.0,3.5,4.0,13.0,Full Furnished,3.5
24500000,"Shital height, Imadol",126.759,East,4.0,3.0,2.0,2.5,3.0,13.0,Semi Furnished,2.5
75000000,Mantri Marga,295.771,South-East,5.0,6.0,2.0,2.5,6.0,13.0,Semi Furnished,2.5
55000000,"Bhaisepati, Lalitpur",211.265,South,5.0,6.0,2.0,2.5,4.0,13.0,Semi Furnished,2.5
42500000,"Shital height, Imadol",275.962,North,6.0,5.0,1.0,3.5,4.0,13.0,Full Furnished,3.5
45000000,Near Ganesh chowk,425.692,East,5.0,5.0,1.0,2.5,4.0,20.0,Semi Furnished,2.5
28000000,"Tikathali, Lalitpur",169.539,East,6.0,4.0,1.0,2.5,4.0,13.0,Full Furnished,2.5
36500000,"Bhaisepati, Lalitpur",169.012,North,4.0,5.0,2.0,2.5,4.0,13.0,Semi Furnished,2.5
33000000,Near Ganesh chowk,169.539,West,6.0,4.0,1.0,2.5,4.0,14.0,Full Furnished,2.5
49500000,"Imadol, Lalitpur",425.692,West,6.0,3.0,1.0,3.5,6.0,13.0,Semi Furnished,3.5
29500000,"Imadol, Lalitpur",297.879,South,6.0,5.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
42000000,"Bafal, Kathmandu",211.265,South-East,4.0,4.0,1.0,3.0,3.0,11.0,Semi Furnished,3.0
24000000,"Kritipur, Kathmandu",319.269,West,7.0,4.0,1.0,4.0,4.0,13.0,Full Furnished,4.0
25500000,Sitapaila,,North,3.0,3.0,1.0,2.5,1.0,20.0,Unfurnished,2.5
37000000,Sitapaila Aadheshwor 5,,East,5.0,2.0,1.0,3.5,2.0,13.0,Semi Furnished,3.5
